Order ID,Customer ID,Product ID,Product Name,Category,Sub-Category,Segment,Region,City,Country,Sales,Profit,Shipping Cost,Quantity,Order Date,Ship Date
2001,CUST1006,PROD5002,Notebook,Stationery,Paper,Corporate,West,Bangalore,India,56755,16575,303,5,2023-11-27,2023-11-30
2002,CUST1190,PROD5042,Monitor,Electronics,Displays,Home Office,North,Kolkata,India,71096,17503,353,4,2023-11-24,2023-11-29
2003,CUST1026,PROD5030,Printer,Electronics,Office Machines,Corporate,West,Mumbai,India,9709,1565,363,1,2024-01-12,2024-01-19
2004,CUST1172,PROD5030,Mouse,Electronics,Accessories,Home Office,West,Mumbai,India,48965,12889,416,7,2023-04-20,2023-04-25
2005,CUST1196,PROD5024,Notebook,Stationery,Paper,Corporate,East,Kolkata,India,333558,62102,331,9,2023-05-27,2023-06-02
2006,CUST1115,PROD5046,Monitor,Electronics,Displays,Corporate,South,Bangalore,India,335340,91960,61,9,2024-01-13,2024-01-15
2007,CUST1089,PROD5020,Notebook,Stationery,Paper,Corporate,East,Chennai,India,201496,37925,401,4,2023-10-05,2023-10-09
2008,CUST1040,PROD5001,Notebook,Stationery,Paper,Home Office,East,Chennai,India,21966,3035,244,7,2023-09-08,2023-09-11
2009,CUST1032,PROD5010,Pen,Stationery,Writing,Consumer,East,Mumbai,India,336920,89186,465,10,2023-03-22,2023-03-26
2010,CUST1124,PROD5034,Notebook,Stationery,Paper,Home Office,North,Kolkata,India,102075,12171,238,5,2023-05-08,2023-05-10
2011,CUST1141,PROD5049,Mouse,Electronics,Accessories,Home Office,South,Bangalore,India,276777,46654,362,9,2023-05-15,2023-05-20
2012,CUST1101,PROD5033,Mouse,Electronics,Accessories,Consumer,East,Bangalore,India,35921,9937,218,1,2024-01-10,2024-01-15
2013,CUST1109,PROD5010,Notebook,Stationery,Paper,Corporate,North,Delhi,India,648300,37771,141,10,2023-10-30,2023-11-02
2014,CUST1122,PROD5015,Printer,Electronics,Office Machines,Consumer,North,Kolkata,India,148240,33378,134,10,2023-10-31,2023-11-05
2015,CUST1003,PROD5008,Notebook,Stationery,Paper,Home Office,East,Kolkata,India,140310,29992,394,5,2023-03-10,2023-03-15
2016,CUST1132,PROD5032,Mouse,Electronics,Accessories,Consumer,West,Mumbai,India,322656,21758,381,8,2023-05-10,2023-05-17
2017,CUST1188,PROD5030,Headset,Electronics,Audio,Consumer,South,Mumbai,India,61445,3586,271,1,2023-02-08,2023-02-11
2018,CUST1093,PROD5036,Pen,Stationery,Writing,Home Office,South,Bangalore,India,181092,25712,362,4,2023-09-03,2023-09-05
2019,CUST1093,PROD5027,Notebook,Stationery,Paper,Home Office,South,Chennai,India,728210,41844,356,10,2023-04-11,2023-04-18
2020,CUST1057,PROD5016,Printer,Electronics,Office Machines,Corporate,East,Chennai,India,380070,112635,305,9,2024-01-11,2024-01-15
2021,CUST1091,PROD5015,Mouse,Electronics,Accessories,Consumer,North,Chennai,India,36684,3362,254,4,2023-04-18,2023-04-23
2022,CUST1104,PROD5009,Pen,Stationery,Writing,Consumer,East,Bangalore,India,296262,52770,419,6,2023-03-02,2023-03-08
2023,CUST1008,PROD5035,Printer,Electronics,Office Machines,Consumer,South,Kolkata,India,125328,31954,281,8,2023-05-16,2023-05-22
2024,CUST1028,PROD5042,Headset,Electronics,Audio,Corporate,East,Bangalore,India,28000,6112,258,2,2023-08-02,2023-08-08
2025,CUST1102,PROD5045,Pen,Stationery,Writing,Home Office,South,Mumbai,India,321678,93132,197,7,2023-07-24,2023-07-28
2026,CUST1165,PROD5031,Pen,Stationery,Writing,Consumer,South,Bangalore,India,196770,35427,397,7,2023-06-25,2023-06-30
2027,CUST1010,PROD5022,Laptop,Electronics,Computers,Consumer,East,Kolkata,India,359610,74393,412,6,2023-05-26,2023-06-01
2028,CUST1168,PROD5008,Monitor,Electronics,Displays,Consumer,North,Kolkata,India,107680,25339,81,10,2023-07-01,2023-07-05
2029,CUST1105,PROD5028,Pen,Stationery,Writing,Consumer,North,Kolkata,India,4736,1409,306,1,2023-03-21,2023-03-25
2030,CUST1116,PROD5008,Monitor,Electronics,Displays,Home Office,East,Mumbai,India,27909,2927,432,9,2023-08-10,2023-08-16
2031,CUST1164,PROD5012,Laptop,Electronics,Computers,Consumer,West,Kolkata,India,104792,27346,456,4,2023-12-11,2023-12-14
2032,CUST1198,PROD5039,Printer,Electronics,Office Machines,Corporate,North,Delhi,India,121680,23045,85,6,2023-09-13,2023-09-19
2033,CUST1183,PROD5030,Monitor,Electronics,Displays,Consumer,East,Kolkata,India,201299,25406,110,7,2023-04-08,2023-04-11
2034,CUST1134,PROD5037,Laptop,Electronics,Computers,Corporate,South,Bangalore,India,18603,5204,113,1,2023-11-20,2023-11-27
2035,CUST1183,PROD5033,Laptop,Electronics,Computers,Consumer,North,Hyderabad,India,137300,23846,232,5,2023-06-10,2023-06-13
2036,CUST1093,PROD5050,Desk,Furniture,Office,Corporate,West,Hyderabad,India,349643,67547,436,7,2023-07-23,2023-07-30
2037,CUST1124,PROD5042,Pen,Stationery,Writing,Consumer,South,Mumbai,India,202257,59687,216,9,2023-12-29,2024-01-03
2038,CUST1036,PROD5009,Notebook,Stationery,Paper,Corporate,South,Kolkata,India,565830,43392,410,10,2023-03-25,2023-03-31
2039,CUST1010,PROD5023,Mouse,Electronics,Accessories,Corporate,East,Chennai,India,102304,27688,494,8,2023-07-04,2023-07-08
2040,CUST1046,PROD5001,Laptop,Electronics,Computers,Consumer,South,Bangalore,India,266413,33426,311,7,2023-07-27,2023-08-01
2041,CUST1167,PROD5034,Monitor,Electronics,Displays,Home Office,North,Chennai,India,75179,16338,183,1,2023-09-28,2023-10-03
2042,CUST1078,PROD5036,Pen,Stationery,Writing,Corporate,South,Hyderabad,India,54060,5207,317,1,2023-12-23,2023-12-26
2043,CUST1097,PROD5034,Pen,Stationery,Writing,Corporate,South,Kolkata,India,11522,780,93,1,2023-09-09,2023-09-11
2044,CUST1195,PROD5019,Chair,Furniture,Office,Consumer,North,Hyderabad,India,42960,9284,294,6,2023-01-31,2023-02-03
2045,CUST1199,PROD5040,Mouse,Electronics,Accessories,Corporate,West,Bangalore,India,158446,16959,302,2,2023-12-31,2024-01-06
2046,CUST1164,PROD5039,Chair,Furniture,Office,Corporate,South,Bangalore,India,376278,21911,325,6,2023-06-14,2023-06-17
2047,CUST1017,PROD5014,Desk,Furniture,Office,Consumer,North,Bangalore,India,611640,79575,293,10,2023-05-24,2023-05-27
2048,CUST1122,PROD5018,Monitor,Electronics,Displays,Home Office,South,Delhi,India,12090,2648,486,2,2023-05-21,2023-05-27
2049,CUST1191,PROD5040,Pen,Stationery,Writing,Home Office,West,Mumbai,India,164457,44966,334,9,2023-09-05,2023-09-12
2050,CUST1049,PROD5003,Monitor,Electronics,Displays,Consumer,North,Chennai,India,49836,13189,260,4,2023-01-02,2023-01-04
2051,CUST1185,PROD5011,Keyboard,Electronics,Accessories,Home Office,West,Hyderabad,India,627440,182446,444,8,2023-06-01,2023-06-06
2052,CUST1153,PROD5017,Desk,Furniture,Office,Corporate,West,Delhi,India,133826,32177,384,2,2023-11-19,2023-11-25
2053,CUST1125,PROD5011,Monitor,Electronics,Displays,Consumer,East,Chennai,India,83662,15804,315,2,2024-01-08,2024-01-12
2054,CUST1074,PROD5034,Monitor,Electronics,Displays,Consumer,East,Hyderabad,India,89442,12855,367,3,2023-09-22,2023-09-25
2055,CUST1040,PROD5007,Chair,Furniture,Office,Corporate,East,Kolkata,India,71401,18763,404,1,2024-02-04,2024-02-06
2056,CUST1176,PROD5036,Pen,Stationery,Writing,Home Office,West,Delhi,India,375216,34644,349,8,2023-04-04,2023-04-07
2057,CUST1119,PROD5030,Keyboard,Electronics,Accessories,Corporate,North,Bangalore,India,19519,2419,120,1,2023-09-30,2023-10-04
2058,CUST1132,PROD5002,Pen,Stationery,Writing,Home Office,West,Delhi,India,308010,18276,357,5,2023-08-29,2023-09-05
2059,CUST1199,PROD5050,Monitor,Electronics,Displays,Consumer,East,Kolkata,India,5304,910,130,4,2023-12-16,2023-12-19
2060,CUST1196,PROD5021,Chair,Furniture,Office,Home Office,South,Kolkata,India,42189,7517,302,7,2023-12-01,2023-12-08
2061,CUST1112,PROD5042,Headset,Electronics,Audio,Home Office,North,Hyderabad,India,80280,21842,154,2,2023-11-30,2023-12-03
2062,CUST1161,PROD5049,Printer,Electronics,Office Machines,Consumer,West,Delhi,India,106964,17033,101,2,2023-09-17,2023-09-20
2063,CUST1178,PROD5019,Monitor,Electronics,Displays,Consumer,North,Delhi,India,39201,11211,62,1,2023-10-06,2023-10-10
2064,CUST1112,PROD5021,Printer,Electronics,Office Machines,Consumer,North,Kolkata,India,128366,14589,83,7,2023-03-27,2023-04-01
2065,CUST1032,PROD5022,Notebook,Stationery,Paper,Corporate,North,Chennai,India,58451,5530,444,1,2023-01-06,2023-01-11
2066,CUST1064,PROD5010,Pen,Stationery,Writing,Consumer,East,Chennai,India,117548,33431,66,2,2023-12-27,2023-12-29
2067,CUST1110,PROD5040,Notebook,Stationery,Paper,Home Office,West,Kolkata,India,47672,3077,71,4,2023-01-06,2023-01-12
2068,CUST1038,PROD5042,Monitor,Electronics,Displays,Consumer,North,Hyderabad,India,457905,53588,404,7,2023-08-13,2023-08-20
2069,CUST1158,PROD5013,Chair,Furniture,Office,Corporate,South,Hyderabad,India,10770,994,204,1,2023-09-02,2023-09-07
2070,CUST1008,PROD5049,Desk,Furniture,Office,Home Office,East,Bangalore,India,184116,43820,467,4,2023-09-11,2023-09-17
2071,CUST1126,PROD5047,Printer,Electronics,Office Machines,Home Office,West,Mumbai,India,333750,46170,466,6,2024-01-03,2024-01-05
2072,CUST1187,PROD5008,Keyboard,Electronics,Accessories,Corporate,North,Mumbai,India,325224,69757,78,9,2023-03-22,2023-03-25
2073,CUST1014,PROD5046,Chair,Furniture,Office,Corporate,North,Delhi,India,44793,3457,212,7,2023-07-09,2023-07-13
2074,CUST1076,PROD5030,Keyboard,Electronics,Accessories,Home Office,East,Kolkata,India,60956,18216,110,2,2023-09-12,2023-09-15
2075,CUST1123,PROD5047,Mouse,Electronics,Accessories,Consumer,West,Mumbai,India,268725,46381,291,5,2023-06-23,2023-06-30
2076,CUST1085,PROD5026,Mouse,Electronics,Accessories,Corporate,North,Chennai,India,496400,38473,226,8,2023-07-15,2023-07-22
2077,CUST1189,PROD5003,Laptop,Electronics,Computers,Home Office,West,Chennai,India,343030,92028,52,10,2023-01-14,2023-01-17
2078,CUST1182,PROD5033,Desk,Furniture,Office,Home Office,South,Delhi,India,358305,40019,267,5,2023-07-12,2023-07-15
2079,CUST1077,PROD5046,Keyboard,Electronics,Accessories,Home Office,North,Hyderabad,India,32574,5728,303,2,2024-01-18,2024-01-21
2080,CUST1112,PROD5021,Chair,Furniture,Office,Home Office,West,Bangalore,India,36733,5103,122,1,2023-11-09,2023-11-16
2081,CUST1105,PROD5021,Mouse,Electronics,Accessories,Corporate,North,Hyderabad,India,38476,11156,321,2,2023-12-28,2023-12-31
2082,CUST1012,PROD5038,Headset,Electronics,Audio,Corporate,North,Hyderabad,India,450422,129478,253,7,2023-09-09,2023-09-12
2083,CUST1190,PROD5028,Pen,Stationery,Writing,Corporate,West,Chennai,India,159438,21198,345,6,2024-01-08,2024-01-13
2084,CUST1084,PROD5012,Keyboard,Electronics,Accessories,Consumer,East,Hyderabad,India,139380,32697,412,4,2023-05-25,2023-05-27
2085,CUST1131,PROD5021,Laptop,Electronics,Computers,Consumer,North,Kolkata,India,235581,24405,143,3,2023-08-11,2023-08-14
2086,CUST1166,PROD5016,Keyboard,Electronics,Accessories,Consumer,West,Hyderabad,India,26940,1631,205,6,2023-10-11,2023-10-18
2087,CUST1031,PROD5022,Mouse,Electronics,Accessories,Consumer,North,Hyderabad,India,469224,65438,475,7,2023-03-14,2023-03-19
2088,CUST1153,PROD5043,Keyboard,Electronics,Accessories,Home Office,North,Mumbai,India,239004,39244,145,9,2023-10-11,2023-10-13
2089,CUST1059,PROD5017,Keyboard,Electronics,Accessories,Corporate,South,Chennai,India,705,96,121,1,2023-10-31,2023-11-02
2090,CUST1023,PROD5013,Notebook,Stationery,Paper,Consumer,East,Hyderabad,India,404824,110188,288,7,2023-08-23,2023-08-27
2091,CUST1180,PROD5001,Desk,Furniture,Office,Consumer,West,Chennai,India,63408,8296,293,3,2023-03-25,2023-04-01
2092,CUST1008,PROD5016,Desk,Furniture,Office,Corporate,South,Delhi,India,352989,87112,423,7,2023-10-17,2023-10-23
2093,CUST1129,PROD5015,Mouse,Electronics,Accessories,Consumer,West,Kolkata,India,119285,15494,189,5,2023-10-23,2023-10-29
2094,CUST1080,PROD5003,Notebook,Stationery,Paper,Consumer,West,Chennai,India,579222,89028,477,9,2023-08-06,2023-08-09
2095,CUST1084,PROD5050,Mouse,Electronics,Accessories,Home Office,South,Kolkata,India,216195,17267,81,3,2023-04-05,2023-04-07
2096,CUST1098,PROD5007,Chair,Furniture,Office,Home Office,South,Bangalore,India,217112,37123,322,4,2023-03-11,2023-03-13
2097,CUST1122,PROD5021,Notebook,Stationery,Paper,Corporate,South,Chennai,India,84648,5014,287,2,2023-06-08,2023-06-11
2098,CUST1155,PROD5008,Laptop,Electronics,Computers,Corporate,North,Delhi,India,88299,7546,437,9,2023-05-23,2023-05-30
2099,CUST1003,PROD5002,Notebook,Stationery,Paper,Corporate,South,Mumbai,India,51727,11820,122,1,2023-07-19,2023-07-24
2100,CUST1101,PROD5009,Printer,Electronics,Office Machines,Home Office,West,Mumbai,India,279848,72996,396,8,2023-01-12,2023-01-19
2101,CUST1091,PROD5045,Notebook,Stationery,Paper,Home Office,East,Mumbai,India,24190,5244,372,10,2023-06-03,2023-06-08
2102,CUST1058,PROD5016,Headset,Electronics,Audio,Corporate,East,Delhi,India,317568,76269,237,6,2023-07-24,2023-07-31
2103,CUST1043,PROD5042,Monitor,Electronics,Displays,Home Office,South,Kolkata,India,318060,42750,172,10,2023-01-23,2023-01-27
2104,CUST1014,PROD5048,Desk,Furniture,Office,Home Office,South,Kolkata,India,701120,164622,242,10,2023-03-18,2023-03-22
2105,CUST1140,PROD5043,Printer,Electronics,Office Machines,Corporate,South,Bangalore,India,106428,16455,182,6,2023-01-08,2023-01-11
2106,CUST1028,PROD5025,Notebook,Stationery,Paper,Consumer,East,Hyderabad,India,204980,49339,136,5,2023-01-08,2023-01-15
2107,CUST1178,PROD5042,Monitor,Electronics,Displays,Home Office,East,Mumbai,India,270009,16816,123,9,2023-10-25,2023-10-30
2108,CUST1168,PROD5002,Keyboard,Electronics,Accessories,Corporate,West,Mumbai,India,79453,10979,119,1,2023-08-20,2023-08-27
2109,CUST1088,PROD5044,Mouse,Electronics,Accessories,Home Office,West,Delhi,India,589536,88669,324,9,2023-04-23,2023-04-29
2110,CUST1153,PROD5020,Desk,Furniture,Office,Home Office,East,Delhi,India,312655,46689,50,7,2023-07-22,2023-07-26
2111,CUST1164,PROD5020,Mouse,Electronics,Accessories,Corporate,East,Bangalore,India,99624,21725,95,4,2023-06-20,2023-06-22
2112,CUST1030,PROD5012,Keyboard,Electronics,Accessories,Corporate,South,Kolkata,India,183120,45000,364,4,2023-05-18,2023-05-23
2113,CUST1077,PROD5022,Monitor,Electronics,Displays,Consumer,West,Bangalore,India,98228,18056,357,4,2023-03-15,2023-03-17
2114,CUST1068,PROD5044,Mouse,Electronics,Accessories,Corporate,South,Delhi,India,423972,56515,281,6,2024-01-01,2024-01-04
2115,CUST1014,PROD5044,Monitor,Electronics,Displays,Corporate,East,Delhi,India,125868,10113,184,4,2024-01-15,2024-01-18
2116,CUST1183,PROD5042,Monitor,Electronics,Displays,Corporate,South,Mumbai,India,56008,11239,89,1,2023-05-12,2023-05-19
2117,CUST1128,PROD5022,Mouse,Electronics,Accessories,Consumer,South,Mumbai,India,244000,40972,148,10,2023-10-29,2023-11-01
2118,CUST1101,PROD5038,Pen,Stationery,Writing,Consumer,West,Bangalore,India,28162,5575,468,1,2023-09-06,2023-09-12
2119,CUST1054,PROD5038,Mouse,Electronics,Accessories,Home Office,North,Kolkata,India,90902,22746,419,2,2023-10-01,2023-10-05
2120,CUST1136,PROD5030,Headset,Electronics,Audio,Consumer,North,Delhi,India,84850,16762,242,10,2023-11-13,2023-11-17
2121,CUST1123,PROD5018,Desk,Furniture,Office,Home Office,South,Kolkata,India,285060,63587,274,10,2023-05-18,2023-05-22
2122,CUST1176,PROD5027,Desk,Furniture,Office,Home Office,South,Delhi,India,8280,650,323,2,2023-07-27,2023-08-02
2123,CUST1023,PROD5036,Mouse,Electronics,Accessories,Corporate,East,Hyderabad,India,342993,53784,99,7,2023-04-04,2023-04-09
2124,CUST1007,PROD5023,Desk,Furniture,Office,Home Office,South,Chennai,India,132156,28889,204,2,2024-01-13,2024-01-20
2125,CUST1148,PROD5017,Monitor,Electronics,Displays,Home Office,West,Bangalore,India,88652,23431,112,2,2023-11-05,2023-11-12
2126,CUST1046,PROD5025,Chair,Furniture,Office,Consumer,North,Chennai,India,54176,15054,499,4,2023-09-25,2023-09-29
2127,CUST1143,PROD5045,Mouse,Electronics,Accessories,Consumer,South,Kolkata,India,11538,3221,284,9,2024-02-03,2024-02-05
2128,CUST1086,PROD5002,Laptop,Electronics,Computers,Home Office,East,Mumbai,India,152271,42786,124,7,2023-03-03,2023-03-09
2129,CUST1116,PROD5007,Headset,Electronics,Audio,Home Office,West,Bangalore,India,77842,9623,250,2,2023-02-12,2023-02-19
2130,CUST1090,PROD5024,Headset,Electronics,Audio,Home Office,South,Kolkata,India,25362,5015,109,9,2023-05-28,2023-06-04
2131,CUST1022,PROD5011,Headset,Electronics,Audio,Home Office,West,Kolkata,India,404920,39668,324,8,2023-05-18,2023-05-21
2132,CUST1178,PROD5019,Keyboard,Electronics,Accessories,Corporate,West,Delhi,India,22295,1241,59,7,2024-02-02,2024-02-05
2133,CUST1149,PROD5020,Desk,Furniture,Office,Corporate,West,Bangalore,India,97248,20030,254,6,2023-01-26,2023-01-28
2134,CUST1079,PROD5037,Headset,Electronics,Audio,Home Office,West,Bangalore,India,222921,59082,450,3,2023-12-29,2024-01-05
2135,CUST1043,PROD5009,Desk,Furniture,Office,Consumer,West,Chennai,India,378064,37003,456,8,2024-01-13,2024-01-17
2136,CUST1104,PROD5036,Notebook,Stationery,Paper,Corporate,West,Bangalore,India,105288,18870,120,2,2023-04-21,2023-04-27
2137,CUST1034,PROD5027,Printer,Electronics,Office Machines,Home Office,South,Chennai,India,315048,59627,428,4,2023-05-31,2023-06-04
2138,CUST1130,PROD5038,Notebook,Stationery,Paper,Consumer,East,Bangalore,India,284564,48165,409,4,2023-07-15,2023-07-22
2139,CUST1147,PROD5026,Keyboard,Electronics,Accessories,Home Office,South,Chennai,India,207324,33203,195,9,2023-01-12,2023-01-18
2140,CUST1184,PROD5022,Pen,Stationery,Writing,Home Office,North,Bangalore,India,385050,84270,308,5,2023-06-04,2023-06-08
2141,CUST1078,PROD5048,Keyboard,Electronics,Accessories,Corporate,East,Chennai,India,535059,158655,277,9,2023-02-27,2023-03-06
2142,CUST1016,PROD5031,Monitor,Electronics,Displays,Corporate,East,Mumbai,India,98286,8105,496,6,2023-11-10,2023-11-13
2143,CUST1166,PROD5024,Chair,Furniture,Office,Consumer,North,Kolkata,India,150234,15594,288,7,2023-12-16,2023-12-23
2144,CUST1169,PROD5015,Desk,Furniture,Office,Corporate,North,Mumbai,India,40486,4532,441,2,2023-07-10,2023-07-16
2145,CUST1157,PROD5044,Mouse,Electronics,Accessories,Home Office,North,Chennai,India,466130,74546,451,10,2023-04-26,2023-05-02
2146,CUST1173,PROD5011,Chair,Furniture,Office,Home Office,South,Hyderabad,India,81840,20162,411,5,2023-05-22,2023-05-24
2147,CUST1090,PROD5026,Headset,Electronics,Audio,Corporate,South,Chennai,India,233832,67819,131,6,2023-05-09,2023-05-13
2148,CUST1027,PROD5019,Mouse,Electronics,Accessories,Home Office,West,Chennai,India,141502,39931,108,2,2024-01-10,2024-01-14
2149,CUST1028,PROD5008,Mouse,Electronics,Accessories,Corporate,South,Mumbai,India,201032,11759,96,4,2023-11-26,2023-12-01
2150,CUST1181,PROD5019,Desk,Furniture,Office,Home Office,West,Delhi,India,148726,13428,259,2,2023-03-26,2023-03-28
2151,CUST1141,PROD5049,Printer,Electronics,Office Machines,Corporate,East,Delhi,India,343300,47086,142,5,2023-11-27,2023-12-02
2152,CUST1158,PROD5015,Monitor,Electronics,Displays,Consumer,East,Kolkata,India,38892,7546,277,3,2023-07-02,2023-07-05
2153,CUST1052,PROD5027,Chair,Furniture,Office,Corporate,West,Delhi,India,217045,51778,101,5,2023-07-31,2023-08-04
2154,CUST1095,PROD5048,Headset,Electronics,Audio,Consumer,West,Delhi,India,229130,46569,111,5,2023-09-17,2023-09-20
2155,CUST1009,PROD5030,Notebook,Stationery,Paper,Consumer,South,Bangalore,India,394646,33101,436,7,2023-11-08,2023-11-12
2156,CUST1105,PROD5002,Mouse,Electronics,Accessories,Consumer,South,Kolkata,India,459330,74887,389,6,2023-08-24,2023-08-27
2157,CUST1085,PROD5021,Mouse,Electronics,Accessories,Consumer,South,Hyderabad,India,79632,23742,89,2,2023-10-08,2023-10-10
2158,CUST1018,PROD5046,Headset,Electronics,Audio,Consumer,South,Bangalore,India,15312,2433,212,4,2023-06-08,2023-06-15
2159,CUST1197,PROD5029,Chair,Furniture,Office,Home Office,West,Kolkata,India,238690,19408,86,5,2023-12-20,2023-12-23
2160,CUST1138,PROD5034,Mouse,Electronics,Accessories,Corporate,South,Hyderabad,India,11024,879,379,2,2023-09-07,2023-09-11
2161,CUST1056,PROD5044,Headset,Electronics,Audio,Consumer,North,Delhi,India,81490,13781,234,2,2023-12-25,2023-12-27
2162,CUST1073,PROD5033,Mouse,Electronics,Accessories,Home Office,North,Hyderabad,India,295358,79868,55,7,2023-03-22,2023-03-24
2163,CUST1062,PROD5044,Laptop,Electronics,Computers,Consumer,South,Mumbai,India,519885,30963,171,9,2023-04-09,2023-04-15
2164,CUST1126,PROD5045,Desk,Furniture,Office,Corporate,East,Bangalore,India,210912,44058,318,6,2023-10-02,2023-10-04
2165,CUST1153,PROD5016,Chair,Furniture,Office,Home Office,South,Mumbai,India,105770,19530,135,7,2023-09-21,2023-09-26
